                        List of relations
 Schema |              Name              | Type  |     Owner      
--------+--------------------------------+-------+----------------
 public | ai_user_settings               | table | postgres
 public | aid_offers                     | table | rescuenet_user
 public | audit_events                   | table | rescuenet_user
 public | audit_logs                     | table | postgres
 public | beneficiary_groups             | table | rescuenet_user
 public | canonical_entities             | table | rescuenet_user
 public | command_corrections            | table | rescuenet_user
 public | community_report_evidence      | table | rescuenet_user
 public | community_report_verifications | table | rescuenet_user
 public | community_reports              | table | rescuenet_user
 public | consolidated_needs             | table | rescuenet_user
 public | coordination_channels          | table | postgres
 public | coordination_messages          | table | postgres
 public | devices                        | table | postgres
 public | disaster_ecosystem_members     | table | postgres
 public | disaster_events                | table | rescuenet_user
 public | distribution_flows             | table | rescuenet_user
 public | donor_program_updates          | table | postgres
 public | donor_programs                 | table | postgres
 public | duplicate_candidates           | table | rescuenet_user
 public | evidence_files                 | table | rescuenet_user
 public | federation_nodes               | table | rescuenet_user
 public | federation_repositories        | table | rescuenet_user
 public | federation_sync_logs           | table | rescuenet_user
 public | found_person_reports           | table | postgres
 public | geo_locations                  | table | rescuenet_user
 public | item_catalog                   | table | rescuenet_user
 public | kitchen_meal_productions       | table | postgres
 public | logistic_needs                 | table | rescuenet_user
 public | map_points                     | table | postgres
 public | medical_cases                  | table | postgres
 public | medical_supply_uses            | table | postgres
 public | missing_person_reports         | table | postgres
 public | official_admin_areas           | table | rescuenet_user
 public | operational_areas              | table | rescuenet_user
 public | organizations                  | table | rescuenet_user
 public | posko_nodes                    | table | rescuenet_user
 public | recovery_project_updates       | table | rescuenet_user
 public | recovery_projects              | table | rescuenet_user
 public | resource_assignments           | table | postgres
 public | resource_profiles              | table | rescuenet_user
 public | resource_requests              | table | postgres
 public | resource_shares                | table | postgres
 public | resources                      | table | postgres
 public | search_found_matches           | table | postgres
 public | servers                        | table | postgres
 public | shelter_needs                  | table | postgres
 public | shelter_occupancies            | table | postgres
 public | stock_movements                | table | postgres
 public | sync_batches                   | table | postgres
 public | sync_conflicts                 | table | postgres
 public | sync_events                    | table | postgres
 public | transport_spaces               | table | rescuenet_user
 public | trusted_verification_requests  | table | rescuenet_user
 public | unit_conversions               | table | rescuenet_user
 public | user_accounts                  | table | postgres
 public | user_sessions                  | table | postgres
 public | verification_actions           | table | postgres
 public | verification_endorsements      | table | rescuenet_user
 public | verification_requests          | table | rescuenet_user
 public | verifier_profiles              | table | rescuenet_user
 public | volunteer_assignments          | table | postgres
 public | volunteer_profiles             | table | postgres
 public | volunteers                     | table | rescuenet_user
 public | work_tool_requests             | table | postgres
(65 rows)

